"gwf_casename"
"Afghanistan 29-73"
"Afghanistan 73-78"
"Afghanistan 78-92"
"Afghanistan 96-01"
"Afghanistan 09-NA"
"Albania 44-91"
"Algeria 62-92"
"Algeria 92-NA"
"Angola 75-NA"
"Argentina 43-46"
"Argentina 51-55"
"Argentina 55-58"
"Argentina 58-66"
"Argentina 66-73"
"Argentina 76-83"
"Armenia 94-98"
"Armenia 98-NA"
"Azerbaijan 91-92"
"Azerbaijan 93-NA"
"Bangladesh 71-75"
"Bangladesh 75-82"
"Bangladesh 82-90"
"Bangladesh 07-08"
"Belarus 91-94"
"Belarus 94-NA"
"Benin 60-63"
"Benin 63-65"
"Benin 65-67"
"Benin 67-69"
"Benin 69-70"
"Benin 72-90"
"Bolivia 43-46"
"Bolivia 46-51"
"Bolivia 51-52"
"Bolivia 52-64"
"Bolivia 64-69"
"Bolivia 69-71"
"Bolivia 71-79"
"Bolivia 80-82"
"Botswana 66-NA"
"Brazil 64-85"
"Bulgaria 44-90"
"Burkina Faso 60-66"
"Burkina Faso 66-80"
"Burkina Faso 80-82"
"Burkina Faso 82-87"
"Burkina Faso 87-NA"
"Burundi 62-66"
"Burundi 66-87"
"Burundi 87-93"
"Burundi 96-03"
"Cambodia 53-70"
"Cambodia 70-75"
"Cambodia 75-79"
"Cambodia 79-NA"
"Cameroon 60-83"
"Cameroon 83-NA"
"Cen African Rep 60-65"
"Cen African Rep 66-79"
"Cen African Rep 79-81"
"Cen African Rep 81-93"
"Cen African Rep 03-NA"
"Chad 60-75"
"Chad 75-79"
"Chad 82-90"
"Chad 90-NA"
"Chile 73-89"
"China 49-NA"
"Colombia 49-53"
"Colombia 53-58"
"Congo-Brz 60-63"
"Congo-Brz 63-68"
"Congo-Brz 68-91"
"Congo-Brz 97-NA"
"Congo/Zaire 60-97"
"Congo/Zaire 97-NA"
"Costa Rica 48-49"
"Cuba 52-59"
"Cuba 59-NA"
"Czechoslovakia 48-89"
"Dominican Rep 30-62"
"Dominican Rep 63-65"
"Dominican Rep 66-78"
"Ecuador 44-47"
"Ecuador 63-66"
"Ecuador 70-72"
"Ecuador 72-79"
"Egypt 22-52"
"Egypt 52-NA"
"El Salvador 31-48"
"El Salvador 48-82"
"El Salvador 82-94"
"Eritrea 93-NA"
"Ethiopia 89-74"
"Ethiopia 74-91"
"Ethiopia 91-NA"
"Gabon 60-NA"
"Gambia 65-94"
"Gambia 94-NA"
"Georgia 91-92"
"Georgia 92-03"
"Germany East 49-90"
"Ghana 60-66"
"Ghana 66-69"
"Ghana 72-79"
"Ghana 81-00"
"Greece 67-74"
"Guatemala 54-58"
"Guatemala 58-63"
"Guatemala 63-66"
"Guatemala 66-70"
"Guatemala 70-85"
"Guatemala 85-95"
"Guinea 58-84"
"Guinea 84-08"
"Guinea 08-10"
"Guinea Bissau 74-80"
"Guinea Bissau 80-99"
"Guinea Bissau 02-03"
"Haiti 41-46"
"Haiti 50-56"
"Haiti 57-86"
"Haiti 86-88"
"Haiti 88-90"
"Haiti 91-94"
"Haiti 99-04"
"Honduras 33-56"
"Honduras 63-71"
"Honduras 72-81"
"Hungary 47-90"
"Indonesia 49-66"
"Indonesia 66-99"
"Iran 25-79"
"Iran 79-NA"
"Iraq 32-58"
"Iraq 58-63"
"Iraq 63-68"
"Iraq 68-79"
"Iraq 79-03"
"Ivory Coast 60-99"
"Ivory Coast 99-00"
"Ivory Coast 00-NA"
"Jordan 46-NA"
"Kazakhstan 91-NA"
"Kenya 63-02"
"Korea North 48-NA"
"Korea South 48-60"
"Korea South 61-87"
"Kuwait 61-NA"
"Kyrgyzstan 91-05"
"Kyrgyzstan 05-10"
"Laos 59-60"
"Laos 60-62"
"Laos 75-NA"
"Lesotho 70-86"
"Lesotho 86-93"
"Liberia 44-80"
"Liberia 80-90"
"Liberia 97-03"
"Libya 51-69"
"Libya 69-NA"
"Madagascar 60-72"
"Madagascar 72-75"
"Madagascar 75-93"
"Madagascar 09-NA"
"Malawi 64-94"
"Malaysia 57-NA"
"Mali 60-68"
"Mali 68-91"
"Mauritania 60-78"
"Mauritania 78-05"
"Mauritania 05-07"
"Mauritania 08-NA"
"Mexico 15-00"
"Mongolia 21-93"
"Morocco 56-NA"
"Mozambique 75-NA"
"Myanmar 58-60"
"Myanmar 62-88"
"Myanmar 88-NA"
"Namibia 90-NA"
"Nepal 46-51"
"Nepal 51-91"
"Nepal 02-06"
"Nicaragua 36-79"
"Nicaragua 79-90"
"Niger 60-74"
"Niger 74-91"
"Niger 96-99"
"Nigeria 66-79"
"Nigeria 83-93"
"Nigeria 93-99"
"Oman 41-NA"
"Pakistan 47-58"
"Pakistan 58-71"
"Pakistan 75-77"
"Pakistan 77-88"
"Pakistan 99-08"
"Panama 49-51"
"Panama 53-55"
"Panama 68-82"
"Panama 82-89"
"Paraguay 39-48"
"Paraguay 48-54"
"Paraguay 54-93"
"Peru 48-56"
"Peru 62-63"
"Peru 68-80"
"Peru 92-00"
"Philippines 72-86"
"Poland 44-89"
"Portugal 26-74"
"Romania 45-89"
"Russia 93-NA"
"Rwanda 62-73"
"Rwanda 73-94"
"Rwanda 94-NA"
"Saudi Arabia 27-NA"
"Senegal 60-00"
"Serbia 91-00"
"Sierra Leone 67-68"
"Sierra Leone 68-92"
"Sierra Leone 92-96"
"Sierra Leone 97-98"
"Singapore 65-NA"
"Somalia 69-91"
"South Africa 10-94"
"Soviet Union 17-91"
"Spain 39-76"
"Sri Lanka 78-94"
"Sudan 58-64"
"Sudan 69-85"
"Sudan 85-86"
"Sudan 89-NA"
"Swaziland 68-NA"
"Syria 46-47"
"Syria 49-51"
"Syria 51-54"
"Syria 57-58"
"Syria 62-63"
"Syria 63-NA"
"Taiwan 49-00"
"Tajikistan 91-NA"
"Tanzania 64-NA"
"Thailand 44-47"
"Thailand 47-57"
"Thailand 57-73"
"Thailand 76-88"
"Thailand 91-92"
"Thailand 06-07"
"Togo 60-63"
"Togo 63-NA"
"Tunisia 56-NA"
"Turkey 23-50"
"Turkey 57-60"
"Turkey 60-61"
"Turkey 80-83"
"Turkmenistan 91-NA"
"Uganda 66-71"
"Uganda 71-79"
"Uganda 80-85"
"Uganda 86-NA"
"United Arab Emirates 71-NA"
"Uruguay 73-84"
"Uzbekistan 91-NA"
"Venezuela 48-58"
"Venezuela 05-NA"
"Vietnam 54-NA"
"Vietnam South 54-63"
"Vietnam South 63-75"
"Yemen 18-62"
"Yemen 62-67"
"Yemen 67-74"
"Yemen 74-78"
"Yemen 78-NA"
"Yemen South 67-90"
"Yugoslavia 45-90"
"Zambia 67-91"
"Zambia 96-NA"
"Zimbabwe 80-NA"
